No Urut,Peruntukan,Nama Persyaratan,Keterangan,Tipe File
11,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
13,PBG Non Rumah Tinggal Non Usaha Mikro Bukan Bangunan Gedung,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
1,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,SPTJM PBG,,pdf
5,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,"Gambar rencana teknis bangunan berupa softfile dalam format Computer Aided Design (CAD) sekurang kurangnya berupa gambar denah, dan dapat ditambahkan : && 1. gambar tampak; && 2. gambar atap; atau && 3. gambar potongan;",,dwg
10,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Data struktur yang ditandatangani oleh perencana struktur apabila bangunan belum berdiri dan bertingkat lebih dari 4 (empat) lantai,,dwg
11,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
13,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
14,PBG Non Rumah Tinggal Non Usaha Mikro Tidak Sederhana,"BAST Administrasi/Fisik PSU, untuk permohonan yang diajukan pengembang",,pdf
1,PBG Menara Telekomunikasi,peta lokasi/KKPR,,pdf
2,PBG Menara Telekomunikasi,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Menara Telekomunikasi,Bukti kepemilikan hak atas tanah,,pdf
4,PBG Menara Telekomunikasi,SPTJM PBG,,pdf
5,PBG Menara Telekomunikasi,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Menara Telekomunikasi,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Menara Telekomunikasi,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Menara Telekomunikasi,"Rekomendasi dari Tim Ahli Cagar Budaya beserta lampiran, apabila bangunan yang dimohonkan merupakan bangunan cagar budaya atau berada di kawasan cagar budaya",,dwg
9,PBG Menara Telekomunikasi,"Gambar rancang bangun menara, berupa softcopy file CAD yang terdiri dari : 1. gambar situasi (skala 1 : 1000 / 1 : 500); 2. gambar layout/denah dan tampak (skala 1:100 / 1:200); dan 3. gambar konstruksi menara (skala 1 : 100) dan detail (skala 1 : 50/ 1 : 20 / 1 : 10)",,dwg
10,PBG Menara Telekomunikasi,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
11,PBG Menara Telekomunikasi,Perhitungan konstruksi menara dan konstruksi bangunan gedung akibat penambahan menara,Apabila bangunan menara di atas bangunan gedung (roof top) kecuali menara telekomunikasi non seluler,pdf
12,PBG Menara Telekomunikasi,"Perhitungan konstruksi, baja/besi dan rencana pondasi berupa softcopy file;",Apabila bangunan menara di atas bangunan gedung (roof top) kecuali menara telekomunikasi non seluler,pdf
13,PBG Menara Telekomunikasi,Surat pernyataan pertanggungjawaban pemilik menara terkait konstruksi menara dan dampak terhadap masyarakat sekitar,,pdf
14,PBG Menara Telekomunikasi,Dokumen hasil sosialisasi atau persetujuan warga terdampak,,pdf
1,PBG Rumah Tinggal Pengembang,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Rumah Tinggal Pengembang,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Rumah Tinggal Pengembang,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Rumah Tinggal Pengembang,SPTJM PBG,,pdf
5,PBG Rumah Tinggal Pengembang,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Rumah Tinggal Pengembang,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
